Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Income_Experience_Ratio,Engagement_Score,Promotion_Delay_Ratio,Attrition_Probability,Risk_Category
41,1,2,1102,2,1,2,1,2,0,94,3,2,7,4,2,5993,19479,8,1,11,3,1,0,8,0,1,6,4,0,5,665.8888888888889,2.5,0.0,0.8994363835920379,High Risk
49,0,1,279,1,8,1,1,3,1,61,2,2,6,2,1,5130,24907,1,0,23,4,4,1,10,3,3,10,7,1,7,466.3636363636364,2.75,0.09090909090909091,0.08600117857678335,Low Risk
37,1,2,1373,1,2,2,4,4,1,92,2,1,2,3,2,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0,261.25,2.75,0.0,0.8433165656449989,High Risk
33,0,1,1392,1,3,4,1,4,0,56,3,1,6,3,1,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0,323.22222222222223,3.25,0.3333333333333333,0.3981372673496769,Medium Risk
27,0,2,591,1,2,1,3,1,1,40,3,1,2,2,1,3468,16632,9,0,12,3,4,1,6,3,3,2,2,2,2,495.42857142857144,2.5,0.6666666666666666,0.7401969527324501,High Risk
32,0,1,1005,1,2,2,1,4,1,79,3,1,2,4,2,3068,11864,0,0,13,3,3,0,8,2,2,7,7,3,6,340.8888888888889,3.5,0.375,0.09730899800934265,Low Risk
59,0,2,1324,1,3,3,3,3,0,81,4,1,2,1,1,2670,9964,4,1,20,4,1,3,12,3,2,1,0,0,0,205.3846153846154,2.25,0.0,0.5294103610716098,Medium Risk
30,0,2,1358,1,24,1,1,4,1,67,3,1,2,3,0,2693,13335,1,0,22,4,2,1,1,2,3,1,0,0,0,1346.5,3.0,0.0,0.3521022581987482,Medium Risk
38,0,1,216,1,23,3,1,4,1,44,2,3,4,3,2,9526,8787,0,0,21,4,2,0,10,2,3,9,7,1,8,866.0,2.75,0.1,0.1422552857928498,Low Risk
36,0,2,1299,1,27,3,3,3,1,94,3,2,0,3,1,5237,16577,6,0,13,3,2,2,17,3,2,7,7,7,7,290.94444444444446,2.75,0.875,0.38702463123811054,Medium Risk
35,0,2,809,1,16,3,3,1,1,84,4,1,2,2,1,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3,346.57142857142856,2.5,0.0,0.25387069149059427,Low Risk
29,0,2,153,1,15,2,1,4,0,49,2,2,2,3,2,4193,12682,0,1,12,3,4,0,10,3,3,9,5,0,8,381.1818181818182,3.25,0.0,0.4681111954476675,Medium Risk
31,0,2,670,1,26,1,1,1,1,31,3,1,6,3,0,2911,15170,1,0,17,3,4,1,5,1,2,5,2,4,3,485.1666666666667,2.75,0.6666666666666666,0.4933139026712239,Medium Risk
34,0,2,1346,1,19,2,3,2,1,93,3,1,2,4,0,2661,8758,0,0,11,3,3,1,3,2,3,2,2,1,2,665.25,3.0,0.3333333333333333,0.21225657010454851,Low Risk
28,1,2,103,1,24,3,1,3,1,50,2,1,2,3,2,2028,12947,5,1,14,3,2,0,6,4,3,4,2,0,3,289.7142857142857,2.5,0.0,0.9409190802557332,High Risk
29,0,2,1389,1,21,4,1,2,0,51,4,3,4,1,0,9980,10195,1,0,11,3,3,1,10,1,3,10,9,8,8,907.2727272727273,2.5,0.7272727272727273,0.13583292552386725,Low Risk
32,0,2,334,1,5,2,1,1,1,80,4,1,6,2,0,3298,15053,0,1,12,3,4,2,7,5,2,6,2,0,5,412.25,2.75,0.0,0.3584626104912313,Medium Risk
22,0,0,1123,1,16,2,3,4,1,96,4,1,2,4,0,2935,7324,1,1,13,3,2,2,1,2,2,1,0,0,0,1467.5,3.5,0.0,0.6430157036889265,High Risk
53,0,2,1219,2,2,4,1,1,0,78,2,4,3,4,1,15427,22021,2,0,16,3,3,0,31,3,3,25,8,3,7,482.09375,2.5,0.11538461538461539,0.11840480698540908,Low Risk
38,0,2,371,1,2,3,1,4,1,45,3,1,6,4,2,3944,4306,5,1,11,3,3,0,6,3,3,3,2,1,2,563.4285714285714,3.5,0.25,0.6402345626540332,High Risk
24,0,0,673,1,11,2,4,1,0,96,4,2,4,3,0,4011,8232,0,0,18,3,4,1,5,5,2,4,2,1,3,668.5,3.0,0.2,0.08197823166725604,Low Risk
